epoch,learning_rate,loss,val_loss,val_y_decoded_loss,val_y_predict_accuracy,val_y_predict_loss,y_decoded_loss,y_predict_accuracy,y_predict_loss
0,0.10000000149011612,7.7478461265563965,4.0998663902282715,0.0,0.5389999747276306,1.286925196647644,0.0,0.527679979801178,1.3115476369857788
1,0.10000000149011612,2.469712257385254,2.6439852714538574,0.0,0.44519999623298645,1.801751732826233,0.0,0.6833599805831909,0.8910143375396729
2,0.10000000149011612,1.3669432401657104,1.6437013149261475,0.0,0.5989999771118164,1.1823385953903198,0.0,0.7337599992752075,0.7642320990562439
3,0.10000000149011612,1.113114833831787,1.2716052532196045,0.0,0.6941999793052673,0.8713340759277344,0.0,0.7604799866676331,0.6912509202957153
4,0.10000000149011612,1.049272894859314,1.5023044347763062,0.0,0.6215000152587891,1.0972819328308105,0.0,0.7782999873161316,0.6471177339553833
5,0.10000000149011612,1.0381942987442017,1.4417320489883423,0.0,0.6478999853134155,1.0293211936950684,0.0,0.7847800254821777,0.6271845102310181
6,0.10000000149011612,1.021862506866455,2.113994836807251,0.0,0.5400000214576721,1.690194845199585,0.0,0.7930799722671509,0.6003562808036804
7,0.10000000149011612,1.0192196369171143,1.702176570892334,0.0,0.5843999981880188,1.2772276401519775,0.0,0.7968199849128723,0.5889120101928711
8,0.10000000149011612,1.0155086517333984,2.9031107425689697,0.0,0.3901999890804291,2.46140718460083,0.0,0.8011000156402588,0.5767269730567932
9,0.10000000149011612,1.0192725658416748,1.3575937747955322,0.0,0.692799985408783,0.908409833908081,0.0,0.8035399913787842,0.5725929141044617
